Update Date and Time (ISO),Update Duration (ms),Reading Date and Time (ISO),Air pressure (mb),Air temperature (C),Tide height (m),Wind direction (deg),Wind gust speed (kn),Wind speed (kn),True air temperature (C),True tide height (m),Independent tide height prediction (m),Independent tide height deviation (m),Dependent tide height prediction (m),Dependent tide height deviation (m),Independent air temperature prediction (C),Independent air temperature deviation (C),Dependent air temperature prediction (C),Dependent air temperature deviation (C)
2007-05-26T14:10:00,0,2007-05-26T14:10:00,,,,,,,17.92,2.02,1.9902,0.033852,2.0039,0.023593,17.3628,0.20801,17.4075,0.20314
2007-05-26T14:15:00,0,2007-05-26T14:15:00,1004,16.8,2.1,25,15.4,15.4,16.67,2.06,2.0097,0.043114,2.0294,0.027122,17.4564,0.24379,17.5058,0.23648
2007-05-26T14:20:00,0,2007-05-26T14:20:00,1004,16.7,2.1,17,15.2,12.5,16.67,2.1,2.1055,0.031096,2.0873,0.023681,17.196,0.20744,17.2458,0.20328
2007-05-26T14:25:00,0,2007-05-26T14:25:00,1005,16.2,2.1,12,13,12.8,16.17,2.14,2.1209,0.020261,2.1131,0.01778,16.736,0.15302,16.7797,0.15132
2007-05-26T14:30:00,0,2007-05-26T14:30:00,1004,15.9,2.2,30,13.8,11.6,15.92,2.17,2.1535,0.026168,2.1378,0.020754,16.7079,0.1793,16.7632,0.1764
2007-05-26T14:35:00,0,2007-05-26T14:35:00,,,,,,,16.58,2.21,2.2121,0.025821,2.1785,0.020556,16.3763,0.17382,16.4326,0.17117
2007-05-26T14:40:00,0,2007-05-26T14:40:00,1004,16.7,2.2,44,12.2,11.4,16.42,2.24,2.2514,0.033691,2.2137,0.023932,16.3036,0.20478,16.3758,0.20063
2007-05-26T14:45:00,0,2007-05-26T14:45:00,1004,16.7,2.3,31,11.7,12.2,17,2.29,2.2766,0.020856,2.2623,0.018122,16.5078,0.15302,16.5395,0.1513
2007-05-26T14:50:00,0,2007-05-26T14:50:00,1004,18.2,2.3,15,15.4,13,18.17,2.31,2.3141,0.027055,2.2933,0.021221,16.4742,0.18031,16.5146,0.17737
2007-05-26T14:55:00,0,2007-05-26T14:55:00,1004,18.2,2.3,17,12.8,12.4,18.17,2.33,2.3435,0.026204,2.3181,0.020648,17.0934,0.17509,17.0978,0.17219
2007-05-26T15:00:00,0,2007-05-26T15:00:00,1004,18.9,2.4,20,9.5,8.8,18.92,2.35,2.3547,0.025883,2.3374,0.020287,17.5563,0.17214,17.5436,0.16941
2007-05-26T15:05:00,0,2007-05-26T15:05:00,,,,,,,19,2.37,2.4087,0.025786,2.3921,0.020257,18.155,0.17058,18.1457,0.16783
2007-05-26T15:10:00,0,2007-05-26T15:10:00,1004,18,2.4,11,19.2,15.2,17.83,2.41,2.4428,0.033638,2.4284,0.023822,18.3459,0.20227,18.3276,0.19832
2007-05-26T15:15:00,0,2007-05-26T15:15:00,1004,16.9,2.4,18,13.4,13.3,16.92,2.42,2.4461,0.02893,2.4398,0.021705,18.3855,0.18863,18.3865,0.18531
2007-05-26T15:20:00,0,2007-05-26T15:20:00,1004,16.3,2.4,25,14.2,12.6,16.25,2.43,2.444,0.026935,2.4403,0.02065,17.9583,0.18031,17.9787,0.17719
2007-05-26T15:25:00,0,2007-05-26T15:25:00,1004,16,2.5,11,14.8,11.5,16,2.45,2.4378,0.026071,2.455,0.020107,17.4134,0.17522,17.4529,0.17227
2007-05-26T15:30:00,0,2007-05-26T15:30:00,,,,,,,15.83,2.47,2.4836,0.02575,2.49,0.019954,16.8885,0.17219,16.9462,0.16938
2007-05-26T15:35:00,0,2007-05-26T15:35:00,1004,15.7,2.5,23,12.8,13.1,15.92,2.47,2.5008,0.022346,2.5054,0.018748,16.3828,0.16031,16.4462,0.15832
2007-05-26T15:40:00,0,2007-05-26T15:40:00,1004,15.7,2.5,18,13.2,11.6,15.67,2.49,2.5177,0.028838,2.5272,0.021536,16.2235,0.18899,16.314,0.18574
2007-05-26T15:45:00,0,2007-05-26T15:45:00,1004,15.7,2.5,26,11.3,10.8,15.67,2.49,2.5128,0.020022,2.526,0.017359,15.8012,0.14813,15.8638,0.14669
2007-05-26T15:50:00,0,2007-05-26T15:50:00,1004,15.8,2.5,24,10.5,9.3,15.83,2.51,2.523,0.026051,2.5518,0.020277,15.5972,0.17499,15.6783,0.17248
2007-05-26T15:55:00,0,2007-05-26T15:55:00,,,,,,,16.33,2.52,2.5197,0.025756,2.5633,0.020469,15.4642,0.17193,15.5398,0.16938
2007-05-26T16:00:00,0,2007-05-26T16:00:00,1004,16.2,2.5,15,9.9,9.2,16.25,2.52,2.5252,0.033507,2.5717,0.023801,15.2659,0.20328,15.3587,0.19941
2007-05-26T16:05:00,0,2007-05-26T16:05:00,1004,16.6,2.5,356,5.4,6.1,16.58,2.52,2.5122,0.028842,2.5519,0.022366,15.4792,0.18879,15.5469,0.18553
2007-05-26T16:10:00,0,2007-05-26T16:10:00,1004,16.3,2.5,8,9.7,7.3,16.33,2.54,2.5028,0.020018,2.5296,0.017899,15.9544,0.14807,15.9828,0.14648
2007-05-26T16:15:00,0,2007-05-26T16:15:00,1004,16.8,2.5,342,11.3,7.3,16.83,2.54,2.5001,0.026034,2.5462,0.021427,15.9051,0.17495,15.944,0.17219
2007-05-26T16:20:00,0,2007-05-26T16:20:00,,,,,,,17,2.54,2.4968,0.025731,2.5455,0.020919,16.1829,0.17193,16.2136,0.16918
2007-05-26T16:25:00,0,2007-05-26T16:25:00,1004,16.7,2.5,19,8.7,9,16.92,2.54,2.497,0.022335,2.5301,0.019403,16.3797,0.16016,16.3995,0.15809
2007-05-26T16:30:00,0,2007-05-26T16:30:00,1004,17,2.6,33,9.1,6.5,16.96,2.56,2.4943,0.028809,2.539,0.022718,16.4147,0.18882,16.4373,0.18535
2007-05-26T16:35:00,0,2007-05-26T16:35:00,1004,16.5,2.6,14,12.4,9.5,16.5,2.58,2.5557,0.026863,2.5648,0.021496,16.6872,0.18017,16.7003,0.17705
2007-05-26T16:40:00,0,2007-05-26T16:40:00,1004,16.5,2.6,35,10.5,10.3,16.5,2.6,2.5957,0.019659,2.5935,0.017431,16.6301,0.14516,16.638,0.14358
2007-05-26T16:45:00,0,2007-05-26T16:45:00,,,,,,,16.67,2.62,2.6149,0.025721,2.619,0.020749,16.6844,0.17194,16.6884,0.16918
2007-05-26T16:50:00,0,2007-05-26T16:50:00,1004,16.6,2.6,10,8,6.3,16.58,2.64,2.6353,0.033433,2.6325,0.024281,16.74,0.20331,16.7576,0.19887
2007-05-26T16:55:00,0,2007-05-26T16:55:00,1004,16.8,2.7,19,12.2,8.5,16.83,2.66,2.6646,0.020772,2.6605,0.018215,16.7573,0.15278,16.7744,0.15098
2007-05-26T17:00:00,0,2007-05-26T17:00:00,1003,17,2.7,12,11.5,10.9,17,2.68,2.6943,0.019998,2.6839,0.017901,16.8715,0.14808,16.8931,0.14652
2007-05-26T17:05:00,0,2007-05-26T17:05:00,,,,,,,16.75,2.72,2.7216,0.025983,2.7087,0.020946,16.9347,0.17495,16.9697,0.17213
2007-05-26T17:10:00,0,2007-05-26T17:10:00,1003,16.8,2.7,24,10.7,3.6,17.25,2.74,2.7221,0.022378,2.7215,0.019348,16.9218,0.16163,16.9368,0.15957
2007-05-26T17:15:00,0,2007-05-26T17:15:00,1003,16.8,2.8,360,14.6,8.9,16.75,2.76,2.7435,0.028761,2.7331,0.022518,16.9733,0.19014,16.9776,0.18661
2007-05-26T17:20:00,0,2007-05-26T17:20:00,1003,16.7,2.8,21,11.1,8.8,16.67,2.77,2.7989,0.026772,2.7755,0.021405,16.9546,0.18068,16.9444,0.17755
2007-05-26T17:25:00,0,2007-05-26T17:25:00,1003,16.6,2.8,14,4.5,4.7,16.58,2.81,2.816,0.019626,2.8084,0.017415,16.806,0.14524,16.7994,0.14364
2007-05-26T17:30:00,0,2007-05-26T17:30:00,1003,16.8,2.8,22,8.9,5.8,16.79,2.83,2.8415,0.025667,2.8427,0.020744,16.8174,0.17192,16.8064,0.16915
2007-05-26T17:35:00,0,2007-05-26T17:35:00,,,,,,,16.92,2.87,2.8442,0.025623,2.8639,0.020579,16.8218,0.17023,16.8135,0.16734
2007-05-26T17:40:00,0,2007-05-26T17:40:00,1003,16.8,2.9,20,6.8,4.1,16.67,2.9,2.8637,0.033362,2.8983,0.024288,16.8306,0.20167,16.8328,0.19737
2007-05-26T17:45:00,0,2007-05-26T17:45:00,1003,16.9,2.9,1,9.5,7,17.08,2.93,2.9041,0.020758,2.9268,0.018228,16.8508,0.15243,16.8503,0.15066
2007-05-26T17:50:00,0,2007-05-26T17:50:00,1003,17,3,352,7.6,4.7,17,2.97,2.9268,0.026767,2.952,0.021408,16.8601,0.17994,16.8672,0.17689
2007-05-26T17:55:00,0,2007-05-26T17:55:00,1003,17.3,3,322,8.9,7,17.25,3.01,2.99,0.025889,3.0177,0.020809,16.9213,0.17492,16.922,0.172
2007-05-26T18:00:00,0,2007-05-26T18:00:00,1003,16.6,3.1,289,8.2,7.5,16.58,3.06,3.0262,0.025558,3.0458,0.020567,17.0744,0.17195,17.0691,0.16911
2007-05-26T18:05:00,0,2007-05-26T18:05:00,,,,,,,17.17,3.1,3.0976,0.025492,3.1182,0.020463,16.9398,0.17029,16.9405,0.1675
2007-05-26T18:10:00,0,2007-05-26T18:10:00,1003,17.2,3.1,308,8.9,6.3,17.33,3.14,3.1382,0.033124,3.1547,0.024063,16.9486,0.20173,16.9513,0.19729
2007-05-26T18:15:00,0,2007-05-26T18:15:00,1003,17,3.2,312,11.7,8.6,17,3.18,3.1523,0.028618,3.1891,0.022197,17.0667,0.18814,17.062,0.18456
2007-05-26T18:20:00,0,2007-05-26T18:20:00,1003,16.8,3.2,348,11.9,7.7,16.75,3.22,3.2152,0.02667,3.2308,0.021194,17.0628,0.17987,17.0533,0.17671
2007-05-26T18:25:00,0,2007-05-26T18:25:00,,,,,,,16,3.28,3.2464,0.025806,3.2657,0.020653,16.9817,0.17481,16.9748,0.17186
2007-05-26T18:30:00,0,2007-05-26T18:30:00,1003,16.2,3.3,335,9.9,7.3,16.08,3.34,3.2835,0.033246,3.3046,0.024116,16.9846,0.20618,16.9663,0.20155
2007-05-26T18:35:00,0,2007-05-26T18:35:00,1003,16,3.4,319,14,12.2,16,3.4,3.3637,0.02067,3.3638,0.018122,16.4134,0.15341,16.4106,0.15159
2007-05-26T18:40:00,0,2007-05-26T18:40:00,1003,15.8,3.5,323,16.1,12.9,15.75,3.45,3.4093,0.026557,3.4083,0.021235,16.3284,0.18054,16.3187,0.17745
2007-05-26T18:45:00,0,2007-05-26T18:45:00,1003,15.8,3.5,310,14.6,13.7,15.83,3.5,3.5044,0.025735,3.4847,0.020581,16.0415,0.17495,16.0363,0.17204
2007-05-26T18:50:00,0,2007-05-26T18:50:00,1003,15.5,3.6,313,11.5,11.8,15.5,3.56,3.5568,0.025437,3.54,0.020304,15.8369,0.17175,15.8355,0.16893
2007-05-26T18:55:00,0,2007-05-26T18:55:00,,,,,,,15.83,3.62,3.6332,0.025377,3.5963,0.020208,15.5861,0.17005,15.5914,0.16728
2007-05-26T19:00:00,0,2007-05-26T19:00:00,1003,15.7,3.7,321,16.1,11.6,15.67,3.68,3.6956,0.022167,3.6721,0.01897,15.5352,0.15922,15.5343,0.15711
2007-05-26T19:05:00,0,2007-05-26T19:05:00,1003,15.7,3.7,337,15,12.5,15.67,3.74,3.7528,0.028457,3.7121,0.02211,15.4009,0.18795,15.3988,0.18444
2007-05-26T19:10:00,0,2007-05-26T19:10:00,1003,15.3,3.8,317,16.7,12.9,15.25,3.77,3.7869,0.019863,3.7688,0.017553,15.3581,0.14786,15.3557,0.14621
2007-05-26T19:15:00,0,2007-05-26T19:15:00,1003,15.8,3.8,338,14.8,13.5,15.75,3.82,3.836,0.02562,3.8164,0.020611,15.236,0.17477,15.2343,0.17187
2007-05-26T19:20:00,0,2007-05-26T19:20:00,,,,,,,15.5,3.88,3.8634,0.025276,3.857,0.020241,15.3194,0.17181,15.3123,0.16894
2007-05-26T19:25:00,0,2007-05-26T19:25:00,1003,15.3,3.9,322,13.2,10.5,15.5,3.92,3.9014,0.022072,3.9072,0.018945,15.2554,0.16006,15.2474,0.15793
2007-05-26T19:30:00,0,2007-05-26T19:30:00,1003,15.2,3.9,325,16.1,14.3,15.17,3.94,3.9375,0.028233,3.9423,0.022046,15.1699,0.18862,15.155,0.18506
2007-05-26T19:35:00,0,2007-05-26T19:35:00,1003,15.1,4,335,15.7,13.7,15.08,3.99,3.9485,0.026339,3.9596,0.020978,15.0979,0.17995,15.0864,0.1768
2007-05-26T19:40:00,0,2007-05-26T19:40:00,,,,,,,15.25,4.01,4.0019,0.025478,4.0143,0.020478,15.0179,0.17472,14.999,0.17165
2007-05-26T19:45:00,0,2007-05-26T19:45:00,1003,14.8,4,337,16.5,12.5,14.92,4.01,4.03,0.032641,4.0463,0.024004,14.9388,0.20596,14.9003,0.20141
2007-05-26T19:50:00,0,2007-05-26T19:50:00,1003,15.2,4,340,14.6,12.1,14.83,4.05,4.0348,0.02812,4.0578,0.021915,14.7993,0.18982,14.7627,0.18619
2007-05-26T19:55:00,0,2007-05-26T19:55:00,1003,15,4.1,322,15,12.7,15,4.05,4.0324,0.026192,4.0546,0.02088,14.877,0.18039,14.8394,0.17724
2007-05-26T20:00:00,0,2007-05-26T20:00:00,1003,15.3,4.1,310,18.5,14.2,15.25,4.07,4.0797,0.025332,4.1021,0.020342,14.864,0.17482,14.828,0.1719
2007-05-26T20:05:00,0,2007-05-26T20:05:00,1003,14.8,4.1,299,19,16.7,14.83,4.07,4.1057,0.025001,4.1337,0.020055,14.9717,0.17164,14.938,0.16882
2007-05-26T20:10:00,0,2007-05-26T20:10:00,,,,,,,14.83,4.07,4.1177,0.024901,4.1444,0.01989,14.8851,0.16995,14.8659,0.16713
2007-05-26T20:15:00,0,2007-05-26T20:15:00,1003,14.1,4.1,315,22.3,18.9,14,4.07,4.1295,0.032014,4.1551,0.023163,14.853,0.20124,14.8455,0.19677
2007-05-26T20:20:00,0,2007-05-26T20:20:00,1003,14.1,4.1,317,18.7,17.7,14.08,4.07,4.1191,0.027866,4.147,0.021474,14.494,0.18782,14.5106,0.18423
2007-05-26T20:25:00,0,2007-05-26T20:25:00,1002,13.9,4.1,327,20.8,18.4,13.92,4.07,4.1108,0.025976,4.1349,0.020571,14.2614,0.17963,14.2792,0.17651
2007-05-26T20:30:00,0,2007-05-26T20:30:00,1003,13.8,4.1,324,22.5,17.4,13.75,4.06,4.1017,0.019241,4.1222,0.01696,13.958,0.14497,13.968,0.14339
2007-05-26T20:35:00,0,2007-05-26T20:35:00,,,,,,,13.33,4.06,4.0956,0.024697,4.1232,0.019873,13.8322,0.17166,13.83,0.16898
2007-05-26T20:40:00,0,2007-05-26T20:40:00,1003,13.1,4.1,329,24.7,22.2,12.83,4.05,4.0939,0.021726,4.1133,0.01864,13.4779,0.15994,13.4657,0.15798
2007-05-26T20:45:00,0,2007-05-26T20:45:00,1003,12.4,4,340,22.9,19.1,11.92,4.04,4.0849,0.027498,4.1075,0.021387,13.3176,0.18842,13.2852,0.18512
2007-05-26T20:50:00,0,2007-05-26T20:50:00,1003,11.3,4,329,23.5,21.9,11.33,4.04,4.026,0.02568,4.0503,0.020358,12.7913,0.17976,12.7458,0.17666
2007-05-26T20:55:00,0,2007-05-26T20:55:00,1003,11.4,4,329,20,19.7,11.42,4.04,3.9941,0.019123,4.0125,0.01684,11.8278,0.14491,11.8124,0.14338
2007-05-26T21:00:00,0,2007-05-26T21:00:00,,,,,,,11.33,4.04,3.9683,0.024447,3.9931,0.019736,11.5083,0.17148,11.4651,0.1686
2007-05-26T21:05:00,0,2007-05-26T21:05:00,,,,,,,11.58,4.04,3.941,0.031057,3.9719,0.023064,11.1903,0.20256,11.1574,0.19805
2007-05-26T21:20:00,0,2007-05-26T21:20:00,,,,,,,11.5,4.04,3.8526,0.056671,3.9016,0.040743,10.2525,0.31758,10.1945,0.30876
2007-05-26T21:35:00,0,2007-05-26T21:35:00,,,,,,,11.75,4.06,3.7587,0.087406,3.8185,0.066237,9.3535,0.45789,9.2676,0.44415
2007-05-26T21:50:00,0,2007-05-26T21:50:00,,,,,,,11.33,4.07,3.6625,0.1193,3.7277,0.095484,8.5085,0.61738,8.394,0.59849
2007-05-26T22:05:00,0,2007-05-26T22:05:00,,,,,,,11.5,4.06,3.565,0.1491,3.6297,0.12493,7.7301,0.79162,7.5875,0.76764
2007-05-26T22:20:00,0,2007-05-26T22:20:00,,,,,,,11.42,4.02,3.4654,0.17442,3.5244,0.15169,7.0274,0.97685,6.8589,0.94805
2007-05-26T22:35:00,0,2007-05-26T22:35:00,,,,,,,11.67,3.96,3.362,0.19392,3.4115,0.1739,6.4071,1.1697,6.2156,1.1365
2007-05-26T22:40:00,0,2007-05-26T22:40:00,,,,,,,11.67,3.94,3.3263,0.19907,3.7219,0.080928,6.2194,1.2352,5.8706,1.1124
2007-05-26T22:45:00,0,2007-05-26T22:45:00,1003,11.1,3.9,347,13.8,10.6,11.75,3.9,3.2897,0.20356,3.6626,0.08036,6.0414,1.301,5.6595,1.1618
2007-05-26T22:50:00,0,2007-05-26T22:50:00,1003,11.3,3.9,337,13.4,9.4,11.08,3.86,3.86,0.032214,3.8184,0.032287,10.9821,0.27147,10.9126,0.27033
2007-05-26T22:55:00,0,2007-05-26T22:55:00,1003,11,3.8,332,10.7,10.2,11,3.82,3.829,0.020135,3.8107,0.020783,11.148,0.16174,11.1163,0.1609
2007-05-26T23:00:00,0,2007-05-26T23:00:00,1003,11,3.8,337,14.2,10.9,11,3.78,3.7895,0.026969,3.768,0.024533,11.2355,0.18552,11.2031,0.18366
2007-05-26T23:05:00,0,2007-05-26T23:05:00,,,,,,,10.75,3.73,3.7516,0.027055,3.7437,0.023029,11.2353,0.17934,11.2167,0.17711
2007-05-26T23:10:00,0,2007-05-26T23:10:00,1003,10.8,3.7,330,15.4,12.5,10.58,3.68,3.7047,0.035332,3.6937,0.026978,11.3182,0.21566,11.3017,0.21159
2007-05-26T23:15:00,0,2007-05-26T23:15:00,1003,10.6,3.6,332,16.1,14.6,10.58,3.63,3.6503,0.028956,3.653,0.022443,11.1543,0.19962,11.1579,0.19584
2007-05-26T23:20:00,0,2007-05-26T23:20:00,,,,,,,10.92,3.57,3.5652,0.02603,3.5697,0.021005,10.961,0.19027,10.9937,0.18656
2007-05-26T23:25:00,0,2007-05-26T23:25:00,1002,10.8,3.5,342,15.4,9.4,10.83,3.51,3.5011,0.03211,3.5143,0.023414,10.9756,0.22715,11.0387,0.22078
2007-05-26T23:30:00,0,2007-05-26T23:30:00,,,,,,,11,3.46,3.4336,0.026838,3.4441,0.022188,10.9034,0.2027,10.9618,0.19797
2007-05-26T23:35:00,0,2007-05-26T23:35:00,1002,10.7,3.4,360,12.6,8.1,10.67,3.39,3.3837,0.022095,3.3815,0.019863,10.8138,0.17571,10.8616,0.17285
2007-05-26T23:40:00,0,2007-05-26T23:40:00,1002,10.6,3.3,348,14.6,11.7,10.58,3.32,3.3164,0.026817,3.3211,0.023536,10.8069,0.20544,10.875,0.20073
2007-05-26T23:45:00,0,2007-05-26T23:45:00,,,,,,,11,3.25,3.2391,0.024449,3.2396,0.021846,10.7102,0.18839,10.7751,0.18464
2007-05-26T23:50:00,0,2007-05-26T23:50:00,1002,11.1,3.2,339,13.4,7.7,11.08,3.19,3.1683,0.029905,3.1689,0.024557,10.6951,0.21975,10.7867,0.21404
2007-05-26T23:55:00,0,2007-05-26T23:55:00,,,,,,,11,3.1,3.116,0.02583,3.1076,0.022394,10.8765,0.19545,10.9378,0.1914
2007-05-27T00:00:00,0,2007-05-27T00:00:00,1002,10.8,3,336,8.9,8.2,10.92,3.03,3.0478,0.031296,3.0333,0.025954,10.8915,0.22713,10.9497,0.22111
2007-05-27T00:05:00,0,2007-05-27T00:05:00,,,,,,,10.75,2.94,2.9506,0.026104,2.9472,0.022425,10.8632,0.19851,10.8885,0.1945
2007-05-27T00:10:00,0,2007-05-27T00:10:00,1002,10.8,2.9,346,12.2,9.8,10.83,2.86,2.89,0.021643,2.8867,0.019748,10.8431,0.17228,10.8527,0.16987
2007-05-27T00:15:00,0,2007-05-27T00:15:00,1002,10.6,2.8,351,14.4,8.5,10.58,2.78,2.8219,0.025834,2.8149,0.022722,10.8539,0.19951,10.8521,0.1957
2007-05-27T00:20:00,0,2007-05-27T00:20:00,,,,,,,11.08,2.7,2.7446,0.023507,2.7403,0.020859,10.7589,0.18399,10.7506,0.18088
2007-05-27T00:25:00,0,2007-05-27T00:25:00,1002,10.8,2.6,347,11.9,9.6,11.08,2.61,2.6789,0.028282,2.6682,0.024166,10.7601,0.21414,10.7364,0.20934
2007-05-27T00:30:00,0,2007-05-27T00:30:00,1002,10.8,2.6,353,9.9,6.7,10.83,2.53,2.5834,0.019101,2.5846,0.017733,10.7884,0.15467,10.7679,0.15292
2007-05-27T00:35:00,0,2007-05-27T00:35:00,1002,10.8,2.5,5,12.6,9,10.75,2.46,2.5189,0.023145,2.5164,0.020511,10.7973,0.18071,10.7567,0.17776
2007-05-27T00:40:00,0,2007-05-27T00:40:00,1002,10.8,2.4,4,10.1,10.3,10.83,2.39,2.4497,0.02243,2.4411,0.019881,10.8095,0.1742,10.7583,0.17143
2007-05-27T00:45:00,0,2007-05-27T00:45:00,1002,10.7,2.3,4,14.2,10.1,10.67,2.32,2.3703,0.02215,2.3688,0.019513,10.8197,0.17068,10.7656,0.16797
2007-05-27T00:50:00,0,2007-05-27T00:50:00,,,,,,,10.42,2.25,2.2829,0.022173,2.2841,0.019195,10.793,0.1689,10.7343,0.1661
2007-05-27T00:55:00,0,2007-05-27T00:55:00,1001,10.4,2.2,4,9.5,6.4,10.5,2.18,2.2256,0.027209,2.2316,0.02269,10.8046,0.1996,10.7203,0.19546
2007-05-27T01:00:00,0,2007-05-27T01:00:00,,,,,,,10.42,2.13,2.1592,0.0246,2.1648,0.02092,10.6437,0.18646,10.5861,0.18288
2007-05-27T01:05:00,0,2007-05-27T01:05:00,1002,10.1,2.1,1,9.7,7.8,10.08,2.07,2.1099,0.029598,2.119,0.024301,10.6351,0.21856,10.5587,0.21337
2007-05-27T01:10:00,0,2007-05-27T01:10:00,,,,,,,10.33,2.03,2.0599,0.025182,2.0672,0.021625,10.3728,0.19532,10.3291,0.19149
2007-05-27T01:15:00,0,2007-05-27T01:15:00,,,,,,,10.58,1.98,2.0199,0.029867,2.0269,0.024623,10.3343,0.22713,10.2919,0.22137
2007-05-27T01:20:00,0,2007-05-27T01:20:00,1002,10.8,2,357,9.5,6.5,10.67,1.95,1.9849,0.035055,1.9963,0.027587,10.2982,0.26226,10.2415,0.25399
